what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_25",1338571664711
java.vm.info,sysinfo,,,"mixed mode",1338571664711
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1338571664711
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1338571664711
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1338571664711
java.vm.specification.version,sysinfo,,,"1.0",1338571664711
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1338571664711
java.vm.version,sysinfo,,,"20.0-b11",1338571664711
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1338571664762
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1338571664763
started,bundle,jd.ide.eclipse,0.1.3,"jd.ide.eclipse",1338571664771
started,bundle,com.aptana.portal.ui,3.0.0.1322703189,"com.aptana.portal.ui",1338571664775
started,bundle,com.aptana.scripting.ui,3.0.0.1322862427,"com.aptana.scripting.ui",1338571664782
started,bundle,com.aptana.usage,3.0.0.1329151902,"com.aptana.usage",1338571664897
started,bundle,com.aptana.workbench,3.0.0.1324069506,"com.aptana.workbench",1338571664941
started,bundle,org.radrails.rails.ui,3.0.2.1320689232,"org.radrails.rails.ui",1338571664948
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338571665656
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1338571665704
opened,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1338571668029
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1338571668446
error,log,,,"(Build 3.0.0.1321644809) [ERROR]  For input string: """"",1338571669867
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1338571670140
closed,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1338571670142
opened,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1338571672276
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1338571672442
activated,view,com.aptana.terminal,3.0.0.1321644809,"com.aptana.terminal.views.terminal",1338571675021
error,log,,,"Unhandled event loop exception",1338571675371
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1338571686704
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1338571688175
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1338571688193
started,bundle,com.aptana.browser,3.0.0.1319670764,"com.aptana.browser",1338571691344
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1338571691495
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1338571691586
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1338571707967
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1338571707995
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338571710666
started,bundle,com.aptana.ui.io.epl,3.0.0.1313456913,"com.aptana.ui.io.epl",1338571726454
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1338571726587
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1338571726650
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1338571727124
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1338571729434
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1338571731013
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1338571731836
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1338571733963
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1338571736537
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1338571736538
activated,editor,org.eclipse.dltk.ruby.ui,0.95.0.v20080617-1812,"org.eclipse.dltk.ruby.ui.editor.RubyEditor",1338571738776
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1338571741018
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1338571765557
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1338571766400
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338571768073
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1338571768201
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1338571768234
no handler,command,org.eclipse.jdt.debug.ui,,"org.eclipse.jdt.debug.ui.commands.Display",1338571770675
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1338571771119
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1338571772799
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1338571774167
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1338571774167
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338571862973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338581866003
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338581866820
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338581870248
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1338581871791
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338581885857
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338582045021
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1338582047287
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1338582108228
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338582108902
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338582144640
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338582211968
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1338582286645
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338582433775
started,bundle,com.aptana.index.core,3.0.0.1326829673,"com.aptana.index.core",1338582439364
started,bundle,com.aptana.editor.common,3.0.3.1328568823,"com.aptana.editor.common",1338582439368
started,bundle,com.aptana.parsing,3.0.0.1319578629,"com.aptana.parsing",1338582439392
started,bundle,com.aptana.editor.html,3.0.3.1326238925,"com.aptana.editor.html",1338582439397
started,bundle,com.aptana.editor.erb,3.0.3.1319153036,"com.aptana.editor.erb",1338582439398
started,bundle,com.aptana.editor.epl,3.0.0.1325713640,"com.aptana.editor.epl",1338582439412
started,bundle,com.aptana.editor.ruby,3.0.3.1320702265,"com.aptana.editor.ruby",1338582439481
started,bundle,com.aptana.editor.findbar,3.0.0.1326349361,"com.aptana.editor.findbar",1338582439490
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1338582439532
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1338582439546
started,bundle,com.aptana.editor.js,3.0.3.1326473864,"com.aptana.editor.js",1338582439659
started,bundle,com.aptana.ui.epl,3.0.0.1322514554,"com.aptana.ui.epl",1338582439664
started,bundle,com.aptana.editor.css,3.0.3.1326757715,"com.aptana.editor.css",1338582439788
started,bundle,com.aptana.editor.xml,3.0.0.1319571596,"com.aptana.editor.xml",1338582439798
started,bundle,com.aptana.editor.svg,3.0.3.1317303845,"com.aptana.editor.svg",1338582439801
started,bundle,com.aptana.webserver.core,3.0.0.1326896828,"com.aptana.webserver.core",1338582440114
started,bundle,beaver,3.0.0.1309394487,"beaver",1338582440146
started,bundle,com.aptana.formatter.epl,3.0.0.1326742432,"com.aptana.formatter.epl",1338582440258
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1338582440857
opened,editor,com.aptana.editor.erb,3.0.3.1319153036,"com.aptana.editor.erb.html",1338582441044
started,bundle,com.aptana.debug.core,3.0.3.1321680133,"com.aptana.debug.core",1338582441318
started,bundle,com.aptana.js.debug.core,3.0.3.1323811743,"com.aptana.js.debug.core",1338582441321
started,bundle,com.aptana.js.debug.ui,3.0.0.1313451701,"com.aptana.js.debug.ui",1338582441336
activated,editor,com.aptana.editor.erb,3.0.3.1319153036,"com.aptana.editor.erb.html",1338582441346
started,bundle,com.aptana.ruby.core,3.0.2.1319731509,"com.aptana.ruby.core",1338582441501
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338582452528
opened,editor,org.eclipse.dltk.ruby.ui,0.95.0.v20080617-1812,"org.eclipse.dltk.ruby.ui.editor.RubyEditor",1338582454476
started,bundle,org.eclipse.dltk.debug,0.95.0.v20080616-1622,"org.eclipse.dltk.debug",1338582454609
started,bundle,org.eclipse.dltk.debug.ui,0.95.0.v20080611-1825,"org.eclipse.dltk.debug.ui",1338582454634
started,bundle,org.eclipse.dltk.ruby.debug.ui,0.95.0.v20080604-1306,"org.eclipse.dltk.ruby.debug.ui",1338582454635
activated,editor,org.eclipse.dltk.ruby.ui,0.95.0.v20080617-1812,"org.eclipse.dltk.ruby.ui.editor.RubyEditor",1338582454644
activated,editor,com.aptana.editor.erb,3.0.3.1319153036,"com.aptana.editor.erb.html",1338582456473
closed,editor,org.eclipse.dltk.ruby.ui,0.95.0.v20080617-1812,"org.eclipse.dltk.ruby.ui.editor.RubyEditor",1338582456474
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338582461336
opened,editor,com.aptana.editor.erb,3.0.3.1319153036,"com.aptana.editor.erb.html",1338582463282
activated,editor,com.aptana.editor.erb,3.0.3.1319153036,"com.aptana.editor.erb.html",1338582463331
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338582467602
opened,editor,com.aptana.editor.erb,3.0.3.1319153036,"com.aptana.editor.erb.html",1338582467784
activated,editor,com.aptana.editor.erb,3.0.3.1319153036,"com.aptana.editor.erb.html",1338582467829
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338582470481
opened,editor,com.aptana.editor.erb,3.0.3.1319153036,"com.aptana.editor.erb.html",1338582470699
activated,editor,com.aptana.editor.erb,3.0.3.1319153036,"com.aptana.editor.erb.html",1338582470758
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338582478429
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1338582478575
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1338582478622
activated,editor,com.aptana.editor.erb,3.0.3.1319153036,"com.aptana.editor.erb.html",1338582482028
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1338582482028
activated,editor,com.aptana.editor.erb,3.0.3.1319153036,"com.aptana.editor.erb.html",1338582487562
activated,editor,com.aptana.editor.erb,3.0.3.1319153036,"com.aptana.editor.erb.html",1338582489377
closed,editor,com.aptana.editor.erb,3.0.3.1319153036,"com.aptana.editor.erb.html",1338582489377
activated,editor,com.aptana.editor.erb,3.0.3.1319153036,"com.aptana.editor.erb.html",1338582490361
activated,editor,com.aptana.editor.erb,3.0.3.1319153036,"com.aptana.editor.erb.html",1338582491258
closed,editor,com.aptana.editor.erb,3.0.3.1319153036,"com.aptana.editor.erb.html",1338582491258
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1338582492385
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1338582493336
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338582498622
opened,editor,org.eclipse.dltk.ruby.ui,0.95.0.v20080617-1812,"org.eclipse.dltk.ruby.ui.editor.RubyEditor",1338582506767
activated,editor,org.eclipse.dltk.ruby.ui,0.95.0.v20080617-1812,"org.eclipse.dltk.ruby.ui.editor.RubyEditor",1338582506829
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338582509924
opened,editor,org.eclipse.dltk.ruby.ui,0.95.0.v20080617-1812,"org.eclipse.dltk.ruby.ui.editor.RubyEditor",1338582510075
activated,editor,org.eclipse.dltk.ruby.ui,0.95.0.v20080617-1812,"org.eclipse.dltk.ruby.ui.editor.RubyEditor",1338582510135
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1338582511665
opened,editor,org.eclipse.dltk.ruby.ui,0.95.0.v20080617-1812,"org.eclipse.dltk.ruby.ui.editor.RubyEditor",1338582511792
activated,editor,org.eclipse.dltk.ruby.ui,0.95.0.v20080617-1812,"org.eclipse.dltk.ruby.ui.editor.RubyEditor",1338582511848
